AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06
3,0.12,0.5,45.0,0.7071067811865476,300.0,50.0,0.5,28.115555280876997,0.06565,0.112386,0.354232,0.259652,0.180991,14.400210127846977,42.85601076091633,28.293977606497563,1.8305614964702952,1.7008960791220364,0.1431950537493067,0.14583304754148277,0.19371337836010516,0.13135290841969607,0.09343331925462738
4,0.12,0.5,45.0,0.7071067811865476,300.0,50.0,0.5,28.115555280876997,0.100162,0.201559,0.454122,0.368143,0.289324,18.56248520997186,56.231402183919855,35.963297731089455,2.7825906753147844,2.4766316764896272,0.184584533403614,0.19134764534571172,0.2462210155584419,0.1996662657052965,0.1360458883678665
3,0.12,0.5,45.0,0.7071067811865476,300.0,90.0,0.9,50.77481736061284,0.06565,0.112386,0.354232,0.259652,0.180991,14.73728091151147,42.853540265630215,27.768905943653834,1.8570591017084346,1.5786368534031832,0.14654687074056155,0.1458246407894283,0.1901185000752203,0.13325425809895994,0.08671739733051459
4,0.12,0.5,45.0,0.7071067811865476,300.0,90.0,0.9,50.77481736061284,0.100162,0.201559,0.454122,0.368143,0.289324,19.12119638327773,56.09338573313709,35.259160069404274,2.7711958601073885,2.308660134710548,0.19014033264415148,0.19087799454828225,0.24140017038875117,0.19884862471302037,0.12681890567246418
3,0.12,0.5,45.0,0.7071067811865476,320.0,10.0,0.1,17.790732986801878,0.06565,0.112386,0.354232,0.259652,0.180991,14.290954685568156,43.36817861796457,29.090144816908726,1.824156367319739,1.5993475253425318,0.14210862245485867,0.1475758835665813,0.19916429947884065,0.13089330498962742,0.08785507225788926
4,0.12,0.5,45.0,0.7071067811865476,320.0,10.0,0.1,17.790732986801878,0.100162,0.201559,0.454122,0.368143,0.289324,18.400935984968445,57.02087451812364,36.90342375943756,2.7659798617763114,2.305951474175239,0.1829780950424967,0.19403410996065024,0.25265754390975287,0.19847434799387143,0.1266701140163163
3,0.12,0.5,45.0,0.7071067811865476,320.0,50.0,0.5,89.89379743803187,0.06565,0.112386,0.354232,0.259652,0.180991,14.494524877972786,40.69382060738231,25.50348922456336,1.8586610196770756,1.3359745832608905,0.14413291546060913,0.13847541499810065,0.17460843174365762,0.13336920457010362,0.07338751690127601
4,0.12,0.5,45.0,0.7071067811865476,320.0,50.0,0.5,89.89379743803187,0.100162,0.201559,0.454122,0.368143,0.289324,18.535178345563274,52.958755392207316,32.268038093175754,2.7154194627425903,1.8554810552914187,0.18431299514951927,0.18021128321847552,0.22092159536615272,0.19484635981825132,0.101924953521818
3,0.12,0.5,45.0,0.7071067811865476,320.0,90.0,0.9,163.54494133649348,0.06565,0.112386,0.354232,0.259652,0.180991,14.757229587361255,40.50059138882608,24.683092085788935,1.8785617312751923,0.9888422764653577,0.14674523949248786,0.13781788282663188,0.16899162156733014,0.13479719065692702,0.0543189071005151
4,0.12,0.5,45.0,0.7071067811865476,320.0,90.0,0.9,163.54494133649348,0.100162,0.201559,0.454122,0.368143,0.289324,19.24545157323914,52.48395141704219,30.926260891028477,2.7397274050873404,1.346929909213271,0.19137592076732385,0.17859559128976507,0.2117351812659723,0.19659058907841978,0.07398931290739981
