AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,theta_trunc_cld,escape_alpha,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
0,0.12,1.0,60.0,0.5000000000000001,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,394.69098126902105,254.77680110295645,139.91418016606454,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,383.40184659579444,245.01411558589118,138.38773100990326,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.42261826174069944,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,378.6599619946311,229.50899922601818,149.15096276861286,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.42261826174069944,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,374.05016478145353,225.87433017747415,148.17583460397935,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.42261826174069944,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,360.77658029739183,218.4245313555735,142.35204894181828,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.42261826174069944,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,355.46034294684347,213.82868960056845,141.63165334627502,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.42261826174069944,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,341.28943577313555,206.10974060595484,135.17969516718074,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.42261826174069944,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,335.0717321742673,200.65176673202438,134.41996544224295,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.42261826174069944,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,313.236751524314,188.55299296056356,124.68375856375044,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,65.0,0.42261826174069944,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,304.35214309995166,181.115049722848,123.23709337710363,0.0145,0.0288,0.4156,0.2031,0.0641
