index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
224,2021-04-30 07:00:00,683.5,44.36963560563232,691.6356673040168,284.40999999999997,54.57,0.1398,0.1113,0.1723,0.0308,0.1518,0.0973,47.8,81.62,1.32,0.09,0.031,0.019,0.132,0.067,0.032,0.313,0.137,0.078,0.321,0.166,0.102,0.236,0.008,0.056,0.171,0.023,0.043,0.0669345729938257,0.0696898859999999,0.094523932653814,0.1005914239999999,0.2192129466254692,0.231463692,0.1971360449657375,0.2118871,0.160289529760759,0.1603666399999999,0.1144278128609921,0.116113486,50.01092713200265
219,2021-04-28 05:00:00,881.5,27.83006034762252,889.7623440695517,293.98999999999995,14.62,0.1595,0.15,0.2365,0.0328,0.1958,0.1418,47.8,75.54,1.32,0.09,0.031,0.019,0.132,0.067,0.032,0.313,0.137,0.078,0.33,0.17,0.104,0.234,0.008,0.055,0.169,0.023,0.043,0.0652710298621994,0.0696898859999999,0.0905128099545649,0.1005914239999999,0.2115874625820871,0.231463692,0.194644877185652,0.218888592,0.1615230161496181,0.159744262,0.1125191506588175,0.114113486,7.761258311566763
174,2021-04-14 04:00:00,879.9,30.713313114098973,879.0557718758753,291.91999999999996,16.07,0.1513,0.145,0.2023,0.0283,0.1898,0.1403,47.8,76.54,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.283,0.146,0.09,0.23,0.008,0.054,0.184,0.025,0.047,0.069808483185649,0.074502194,0.1037297443987782,0.114783592,0.1817377850489291,0.198211476,0.1664704726679054,0.186634884,0.1585375219872978,0.157121884,0.1221512132585088,0.123981366,24.96653479442054
176,2021-04-14 06:00:00,749.6,38.405825523573775,790.1630520462032,293.90999999999997,14.69,0.1503,0.1408,0.1933,0.0283,0.1825,0.134,47.8,83.44,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.283,0.146,0.09,0.23,0.008,0.054,0.184,0.025,0.047,0.0705200298713897,0.074502194,0.1055476233703955,0.114783592,0.1843165263292784,0.198211476,0.1695296049906012,0.186634884,0.1576854790521594,0.157121884,0.1220186019890291,0.123981366,26.906051357206735
160,2021-04-07 07:00:00,501.7,49.212564303973394,647.5881132052715,293.02,29.05,0.1543,0.132,0.1483,0.0273,0.1535,0.107,47.8,89.12,1.32,0.096,0.004,0.019,0.158,0.075,0.044,0.276,0.106,0.081,0.28,0.144,0.089,0.23,0.008,0.054,0.194,0.08,0.058,0.0702990704460655,0.070581918,0.1073541358990133,0.111573432,0.1784375324809696,0.184466122,0.1765173965739535,0.184634138,0.1565006387606193,0.157121884,0.1246936393179852,0.129232644,41.23489107689037
181,2021-04-17 03:00:00,824.1,33.76529645475364,841.8765852956119,287.22999999999996,18.79,0.1408,0.1308,0.186,0.031,0.1723,0.1265,47.8,72.34,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.282,0.145,0.089,0.231,0.008,0.054,0.184,0.025,0.047,0.0700284434976941,0.074502194,0.1043073218788793,0.114783592,0.1825438928288909,0.198211476,0.1677197738605874,0.186823322,0.1592041061645974,0.158121884,0.1220651737897884,0.123981366,52.00779286149336
172,2021-04-13 08:00:00,485.0,58.46250837958276,489.0498402892604,288.62,9.43,0.109,0.083,0.099,0.028,0.1148,0.0743,47.8,89.88,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.284,0.146,0.09,0.23,0.008,0.054,0.184,0.025,0.047,0.0756536396317876,0.074502194,0.1177512388190575,0.114783592,0.2023993014312271,0.198211476,0.1925856790582416,0.187634884,0.1556269421632082,0.157121884,0.1236920587185152,0.123981366,56.55981795793272
212,2021-04-26 04:00:00,808.2,26.57292219776968,903.89468940491,290.48999999999995,49.37,0.179,0.1608,0.2143,0.0278,0.189,0.1303,47.8,72.68,1.32,0.093,0.033,0.02,0.142,0.072,0.034,0.298,0.131,0.074,0.303,0.156,0.096,0.24,0.008,0.057,0.181,0.025,0.046,0.0669285952695817,0.071690632,0.0978032913526782,0.1087820999999999,0.201605591592425,0.220839076,0.1778384377627637,0.200260992,0.1650217379090497,0.1629890179999999,0.1206366382285651,0.122358988,24.516922916568177
151,2021-04-06 04:00:00,689.4,33.705393344343626,858.3328330754301,290.16999999999996,32.96,0.1713,0.157,0.1903,0.035,0.1815,0.1377,47.8,79.3,1.32,0.094,0.004,0.018,0.159,0.076,0.044,0.271,0.103,0.079,0.28,0.144,0.088,0.224,0.008,0.053,0.201,0.083,0.061,0.0701108809372661,0.06995954,0.102622709097444,0.112762616,0.1687575027949033,0.181653814,0.1670015926746581,0.18601176,0.1535446762640639,0.152499506,0.122158970817177,0.13266733,25.392616254755666
156,2021-04-07 03:00:00,754.4,37.331947058477375,813.6852324581731,289.71999999999997,33.01,0.1535,0.135,0.1655,0.0295,0.1683,0.1248,47.8,75.78,1.32,0.096,0.004,0.019,0.158,0.075,0.044,0.276,0.106,0.081,0.28,0.144,0.089,0.23,0.008,0.054,0.194,0.08,0.058,0.0706545919817444,0.070581918,0.1024194881956067,0.111573432,0.172162181214425,0.184466122,0.1672107995094919,0.184634138,0.1578061120127878,0.157121884,0.1198411626427456,0.129232644,50.31231020143511
214,2021-04-26 07:00:00,578.2,45.126213654604264,685.3473919982872,294.28,44.34,0.1818,0.185,0.1915,0.029,0.1948,0.1245,47.8,82.82000000000001,1.32,0.093,0.033,0.02,0.142,0.072,0.034,0.298,0.131,0.074,0.303,0.156,0.096,0.24,0.008,0.057,0.181,0.025,0.046,0.0689033220102505,0.071690632,0.1026044554654243,0.1087820999999999,0.2097204292761147,0.220839076,0.1870991444344103,0.200260992,0.1628341575071849,0.1629890179999999,0.1205554815265247,0.122358988,48.57800772203521
200,2021-04-20 03:00:00,701.8,32.76028360222216,849.3311174815889,294.78,46.86,0.1548,0.1408,0.1848,0.0288,0.1718,0.115,47.8,71.34,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.282,0.145,0.089,0.231,0.008,0.054,0.184,0.025,0.047,0.069947655143496,0.074502194,0.1040977954710898,0.114783592,0.1822493149750349,0.198211476,0.1673737571384641,0.186823322,0.159314863391944,0.158121884,0.1220892473197368,0.123981366,52.58518210406922
194,2021-04-19 02:00:00,650.1,41.25425866909024,746.8914441461409,290.9,42.79,0.132,0.115,0.1568,0.0293,0.1498,0.1023,47.8,68.92,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.282,0.145,0.089,0.231,0.008,0.054,0.184,0.025,0.047,0.0709292276819275,0.074502194,0.1065550676515765,0.114783592,0.1857777646936977,0.198211476,0.1715733167373012,0.186823322,0.1583658064285103,0.158121884,0.122051905311744,0.123981366,72.82860957419817
179,2021-04-15 03:00:00,660.2,34.45358106789783,836.5266680021133,288.69,51.84,0.1693,0.16,0.1945,0.0325,0.1748,0.1263,47.8,73.0,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.283,0.146,0.089,0.23,0.008,0.054,0.184,0.025,0.047,0.0700887680245812,0.074502194,0.1044623445979025,0.114783592,0.1827630346535391,0.198211476,0.1690117095832918,0.188012506,0.1581278171841408,0.157121884,0.1220513236777729,0.123981366,51.64139559075747
199,2021-04-20 02:00:00,564.1,40.95690987691542,749.67381505779,293.48999999999995,52.73,0.1658,0.1575,0.1875,0.0428,0.153,0.1123,47.8,68.60000000000001,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.282,0.145,0.089,0.231,0.008,0.054,0.184,0.025,0.047,0.0708823615201029,0.074502194,0.1064404262489529,0.114783592,0.1856108318634132,0.198211476,0.1713729416284111,0.186823322,0.1583990875738147,0.158121884,0.1220459478940548,0.123981366,73.10385270394752
225,2021-04-30 08:00:00,526.8,55.39643718461789,523.2656895902328,285.42999999999995,51.71,0.114,0.082,0.1133,0.0288,0.1145,0.0715,47.8,84.4,1.32,0.09,0.031,0.019,0.132,0.067,0.032,0.313,0.137,0.078,0.321,0.166,0.102,0.236,0.008,0.056,0.171,0.023,0.043,0.069677421337768,0.0696898859999999,0.1007905693130309,0.1005914239999999,0.2315574522751295,0.231463692,0.2118139171586429,0.2118871,0.15908897937721,0.1603666399999999,0.1153833404449704,0.116113486,62.3870129135062
198,2021-04-19 06:00:00,662.6,37.098961560227835,800.1300318739404,298.21999999999997,26.33,0.1578,0.1468,0.194,0.0298,0.1853,0.1325,47.8,81.78,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.282,0.145,0.089,0.231,0.008,0.054,0.184,0.025,0.047,0.0703607350356411,0.074502194,0.1051504579849853,0.114783592,0.1837448347297241,0.198211476,0.1691420257977006,0.186823322,0.1588322606909975,0.158121884,0.1220200069821072,0.123981366,28.893977536504963
193,2021-04-18 08:00:00,371.6,57.51072118458243,499.9146147630081,297.09999999999997,16.15,0.1115,0.0875,0.1028,0.0268,0.1173,0.0773,47.8,88.18,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.282,0.145,0.089,0.231,0.008,0.054,0.184,0.025,0.047,0.0752735440425593,0.074502194,0.11686379595805,0.114783592,0.201069671906673,0.198211476,0.1901310863572971,0.186823322,0.15670707636661,0.158121884,0.1235216575772333,0.123981366,58.36117653508316
