source_server,AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
83,0,0.12,1.0,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,none,913.1546431627474,253.1159669499697,660.0386762127779,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,285.0,50.0,0.5,10.524269951667252,none,868.5236354182996,239.91475599018432,628.6088794281152,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,285.0,90.0,0.9,18.966876247123928,none,854.0693162018704,232.31991903342083,621.7493971684496,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,none,884.7739658944331,245.28655597495867,639.4874099194745,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,300.0,50.0,0.5,28.115555280877004,none,828.649412956075,228.79672723128476,599.8526857247903,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,300.0,90.0,0.9,50.77481736061284,none,810.8754874137514,219.8566776268662,591.0188097868852,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,none,840.2453177834296,232.57820109566296,607.6671166877668,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,320.0,50.0,0.5,89.89379743803187,none,769.7623869621357,212.3923467592987,557.3700402028369,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,30.0,0.8660254037844387,320.0,90.0,0.9,163.54494133649348,none,747.1115227911016,202.39060442217624,544.7209183689253,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,none,718.2002598365237,152.93972949479834,565.2605303417255,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,45.0,0.7071067811865476,270.0,50.0,0.5,3.5027922523960817,none,689.6328591851092,146.57294346295765,543.0599157221515,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,45.0,0.7071067811865476,270.0,90.0,0.9,6.307579202674779,none,680.926863170464,141.76032404848533,539.1665391219786,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,45.0,0.7071067811865476,285.0,10.0,0.1,2.102284871618859,none,697.8302883534503,148.5481532077332,549.2821351457171,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,45.0,0.7071067811865476,285.0,50.0,0.5,10.524269951667252,none,661.3030180998412,139.8086045522142,521.494413547627,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,45.0,0.7071067811865476,285.0,90.0,0.9,18.966876247123928,none,650.3725014250945,136.29438453151363,514.0781168935808,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,45.0,0.7071067811865476,300.0,10.0,0.1,5.60472200819694,none,675.0265437291763,143.02775111529846,531.998792613878,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,45.0,0.7071067811865476,300.0,50.0,0.5,28.115555280877004,none,629.4591817992958,133.41978076069313,496.03940103860265,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,45.0,0.7071067811865476,300.0,90.0,0.9,50.77481736061284,none,615.5964120743602,127.54599892394327,488.0504131504168,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,45.0,0.7071067811865476,320.0,10.0,0.1,17.790732986801878,none,638.1453421699216,136.18151432183183,501.96382784808986,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,45.0,0.7071067811865476,320.0,50.0,0.5,89.89379743803187,none,583.737484368036,122.7788545463112,460.9586298217246,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,45.0,0.7071067811865476,320.0,90.0,0.9,163.54494133649348,none,566.272684792972,117.08550813828184,449.18717665469023,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,270.0,10.0,0.1,0.7002750439845209,none,439.4287350455265,52.129575508932376,387.2991595365941,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,270.0,50.0,0.5,3.5027922523960817,none,421.53648161595385,49.70883001971863,371.8276515962352,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,270.0,90.0,0.9,6.307579202674779,none,416.0426486730611,48.06719140628628,367.9754572667748,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,285.0,10.0,0.1,2.102284871618859,none,427.0690234957843,50.517304344497255,376.551719151287,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,285.0,50.0,0.5,10.524269951667252,none,402.60382278835624,47.19010661144708,355.41371617690913,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,285.0,90.0,0.9,18.966876247123928,none,395.91454340885497,45.32789368952552,350.58664971932944,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,300.0,10.0,0.1,5.60472200819694,none,411.5888748121339,48.52320391224558,363.0656708998884,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,300.0,50.0,0.5,28.115555280877004,none,381.5628467833618,44.593280786811306,336.9695659965505,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,300.0,90.0,0.9,50.77481736061284,none,373.85839519008806,42.21464109369335,331.64375409639473,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,320.0,10.0,0.1,17.790732986801878,none,386.61927075119246,45.62038617962421,340.9988845715683,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,320.0,50.0,0.5,89.89379743803187,none,350.56009930487284,40.57376609806562,309.9863332068072,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,60.0,0.5000000000000001,320.0,90.0,0.9,163.54494133649348,none,340.80181911535715,37.933629616667055,302.86818949868996,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,65.0,0.4226182617406994,270.0,10.0,0.1,0.7002750439845209,none,341.2958769352321,28.14201867650381,313.1538582587283,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,65.0,0.4226182617406994,270.0,50.0,0.5,3.5027922523960817,none,326.70573645750005,26.471982488562073,300.23375396893806,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,65.0,0.4226182617406994,270.0,90.0,0.9,6.307579202674779,none,323.1764719415847,25.722963656668966,297.45350828491576,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,1.0,65.0,0.4226182617406994,285.0,10.0,0.1,2.102284871618859,none,331.03742589994107,27.006293511310172,304.03113238863085,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,65.0,0.4226182617406994,285.0,50.0,0.5,10.524269951667252,none,311.81601633339324,25.23376461276403,286.5822517206292,0.0145,0.0288,0.4156,0.2031,0.0641
