The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  351.06        253.88        115.22         66.23
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
    1085.0  0.0004103368  0.0004087176  0.0000391111  0.0000775097
    1086.0  0.0004091113  0.0004074947  0.0000390127  0.0000772782
    1087.0  0.0004072297  0.0004056182  0.0000388648  0.0000769228
    1088.0  0.0004053577  0.0004037511  0.0000387515  0.0000765692
    1089.0  0.0004046306  0.0004030246  0.0000388059  0.0000764319
    1090.0  0.0004062236  0.0004046085  0.0000391655  0.0000767327
    1091.0  0.0004109571  0.0004093206  0.0000399194  0.0000776268
    1092.0  0.0004184438  0.0004167747  0.0000410068  0.0000790410
    1093.0  0.0004270290  0.0004253232  0.0000422141  0.0000806628
    1094.0  0.0004338309  0.0004320956  0.0000431728  0.0000819475
    1095.0  0.0004358896  0.0004341441  0.0000435138  0.0000823364
    1096.0  0.0004311896  0.0004294610  0.0000429790  0.0000814486
    1097.0  0.0004196244  0.0004179403  0.0000415568  0.0000792641
    1098.0  0.0004032353  0.0004016147  0.0000394971  0.0000761683
    1099.0  0.0003853706  0.0003838199  0.0000372203  0.0000727936
    1100.0  0.0003696039  0.0003681147  0.0000351769  0.0000698155
    1101.0  0.0003582233  0.0003567778  0.0000336613  0.0000676658
    1102.0  0.0003517270  0.0003503056  0.0000327515  0.0000664386
    1103.0  0.0003489476  0.0003475354  0.0000323136  0.0000659136
    1104.0  0.0003479932  0.0003465833  0.0000321245  0.0000657335
    1105.0  0.0003474753  0.0003460656  0.0000320109  0.0000656356
    1106.0  0.0003468769  0.0003454678  0.0000319091  0.0000655225
    1107.0  0.0003469280  0.0003455167  0.0000319027  0.0000655322
    1108.0  0.0003487196  0.0003472990  0.0000321271  0.0000658705
    1109.0  0.0003534738  0.0003520317  0.0000327322  0.0000667686
    1110.0  0.0003618772  0.0003603984  0.0000338009  0.0000683560
    1111.0  0.0003738010  0.0003722711  0.0000353126  0.0000706082
    1112.0  0.0003882686  0.0003866772  0.0000371341  0.0000733412
