The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  643.36        568.55        427.55        431.82
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
    1073.0  0.0011844430  0.0011844410  0.0006499882  0.0007951753
    1074.0  0.0011993970  0.0011993950  0.0006622133  0.0008052139
    1075.0  0.0012104560  0.0012104540  0.0006713916  0.0008126395
    1076.0  0.0012210649  0.0012210630  0.0006800744  0.0008197615
    1077.0  0.0012311430  0.0012311410  0.0006882607  0.0008265276
    1078.0  0.0012426630  0.0012426610  0.0006973566  0.0008342608
    1079.0  0.0012544820  0.0012544800  0.0007065852  0.0008421960
    1080.0  0.0012674860  0.0012674840  0.0007165914  0.0008509265
    1081.0  0.0012812840  0.0012812820  0.0007271704  0.0008601891
    1082.0  0.0012957880  0.0012957860  0.0007383883  0.0008699264
    1083.0  0.0013115270  0.0013115250  0.0007506786  0.0008804931
    1084.0  0.0013273670  0.0013273651  0.0007634056  0.0008911273
    1085.0  0.0013440390  0.0013440370  0.0007771060  0.0009023199
    1086.0  0.0013602710  0.0013602690  0.0007909845  0.0009132170
    1087.0  0.0013765170  0.0013765150  0.0008054193  0.0009241244
    1088.0  0.0013924889  0.0013924860  0.0008201888  0.0009348469
    1089.0  0.0014082680  0.0014082660  0.0008354608  0.0009454405
    1090.0  0.0014244200  0.0014244170  0.0008514589  0.0009562831
    1091.0  0.0014406210  0.0014406190  0.0008679884  0.0009671596
    1092.0  0.0014568730  0.0014568700  0.0008846761  0.0009780700
    1093.0  0.0014724340  0.0014724320  0.0009007502  0.0009885171
    1094.0  0.0014859050  0.0014859020  0.0009147187  0.0009975611
    1095.0  0.0014967510  0.0014967480  0.0009257842  0.0010048420
    1096.0  0.0015034610  0.0015034580  0.0009326380  0.0010093480
    1097.0  0.0015067450  0.0015067430  0.0009356984  0.0010115521
    1098.0  0.0015068750  0.0015068720  0.0009355434  0.0010116390
    1099.0  0.0015054850  0.0015054820  0.0009337909  0.0010107059
    1100.0  0.0015042550  0.0015042520  0.0009322669  0.0010098810
    1101.0  0.0015037589  0.0015037570  0.0009318010  0.0010095480
    1102.0  0.0015049790  0.0015049760  0.0009331984  0.0010103660
    1103.0  0.0015068140  0.0015068110  0.0009355591  0.0010115990
    1104.0  0.0015090680  0.0015090650  0.0009383571  0.0010131120
    1105.0  0.0015110280  0.0015110250  0.0009407838  0.0010144280
    1106.0  0.0015123520  0.0015123490  0.0009423907  0.0010153149
    1107.0  0.0015139470  0.0015139451  0.0009437752  0.0010163860
    1108.0  0.0015154780  0.0015154760  0.0009448830  0.0010174150
    1109.0  0.0015184639  0.0015184610  0.0009469254  0.0010194191
    1110.0  0.0015225291  0.0015225260  0.0009499542  0.0010221479
    1111.0  0.0015284210  0.0015284180  0.0009545833  0.0010261030
    1112.0  0.0015357810  0.0015357781  0.0009606309  0.0010310441
    1113.0  0.0015433650  0.0015433620  0.0009670001  0.0010361350
    1114.0  0.0015504560  0.0015504530  0.0009728112  0.0010408970
    1115.0  0.0015542690  0.0015542660  0.0009756715  0.0010434570
    1116.0  0.0015545600  0.0015545570  0.0009750322  0.0010436530
    1117.0  0.0015500661  0.0015500630  0.0009699585  0.0010406350
    1118.0  0.0015424211  0.0015424180  0.0009618577  0.0010355019
    1119.0  0.0015338670  0.0015338639  0.0009528679  0.0010297610
    1120.0  0.0015268699  0.0015268670  0.0009454377  0.0010250630
    1121.0  0.0015248210  0.0015248180  0.0009425155  0.0010236880
    1122.0  0.0015280340  0.0015280310  0.0009446529  0.0010258440
    1123.0  0.0015372901  0.0015372870  0.0009523333  0.0010320590
    1124.0  0.0015501610  0.0015501580  0.0009634266  0.0010406990
    1125.0  0.0015645541  0.0015645510  0.0009759508  0.0010503610
    1126.0  0.0015779670  0.0015779630  0.0009874359  0.0010593650
    1127.0  0.0015876300  0.0015876259  0.0009955291  0.0010658531
    1128.0  0.0015925380  0.0015925340  0.0009990312  0.0010691490
    1129.0  0.0015903719  0.0015903690  0.0009961603  0.0010676950
    1130.0  0.0015809750  0.0015809709  0.0009866783  0.0010613850
    1131.0  0.0015636460  0.0015636430  0.0009701197  0.0010497540
    1132.0  0.0015397660  0.0015397629  0.0009478377  0.0010337200
    1133.0  0.0015126310  0.0015126280  0.0009225465  0.0010155030
    1134.0  0.0014865530  0.0014865500  0.0008982818  0.0009979965
    1135.0  0.0014677980  0.0014677950  0.0008802111  0.0009854053
    1136.0  0.0014605370  0.0014605341  0.0008722370  0.0009805311
    1137.0  0.0014673420  0.0014673390  0.0008765165  0.0009850980
    1138.0  0.0014871040  0.0014871010  0.0008921481  0.0009983657
    1139.0  0.0015152430  0.0015152399  0.0009152811  0.0010172570
    1140.0  0.0015466930  0.0015466900  0.0009412396  0.0010383710
    1141.0  0.0015749680  0.0015749650  0.0009645172  0.0010573530
    1142.0  0.0015965300  0.0015965271  0.0009816826  0.0010718280
    1143.0  0.0016087120  0.0016087079  0.0009904377  0.0010800069
    1144.0  0.0016108790  0.0016108750  0.0009901443  0.0010814629
    1145.0  0.0016044710  0.0016044680  0.0009819324  0.0010771600
    1146.0  0.0015902180  0.0015902150  0.0009667068  0.0010675910
    1147.0  0.0015720440  0.0015720410  0.0009476951  0.0010553910
    1148.0  0.0015519280  0.0015519250  0.0009270924  0.0010418860
    1149.0  0.0015345580  0.0015345550  0.0009089379  0.0010302240
    1150.0  0.0015227060  0.0015227030  0.0008960418  0.0010222680
    1151.0  0.0015187620  0.0015187580  0.0008906941  0.0010196200
    1152.0  0.0015240200  0.0015240170  0.0008940141  0.0010231490
    1153.0  0.0015365910  0.0015365880  0.0009046158  0.0010315879
    1154.0  0.0015552019  0.0015551990  0.0009209313  0.0010440840
    1155.0  0.0015757050  0.0015757020  0.0009394377  0.0010578480
    1156.0  0.0015957570  0.0015957539  0.0009575622  0.0010713070
    1157.0  0.0016124450  0.0016124410  0.0009726679  0.0010825130
    1158.0  0.0016238070  0.0016238031  0.0009828751  0.0010901430
