AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06,C01_srf,C02_srf,C03_srf,C05_srf,C06_srf
1,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.0251,0.0472,0.3922,0.2218,0.0897,13.563465389362012,43.79128537278507,28.393051169400707,1.6879244039996677,1.1580376929013727,0.13487450101166976,0.1490156570404841,0.19439168081877867,0.12111790840430593,0.06361311945971214,14.261897753116111,106.45270880394906,91.6064198537396,7.7028858136909335,4.974079914114232
2,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.0407,0.0745,0.3575,0.2494,0.1275,15.008766215123721,52.62800364292831,35.24201761524346,2.1371213467737746,1.5294898431839394,0.14924650861374275,0.17908578099088548,0.24128280538779381,0.15335027262718806,0.08401766255389302,21.318243306569254,138.9674213463806,116.10320563723803,9.991416484876606,7.013668106394331
3,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.0673,0.1207,0.2988,0.2961,0.1916,17.335069947051505,61.13390913290685,40.741778058753525,2.7744252317435993,2.2690730765249367,0.17237917021889787,0.20803019503407622,0.2789366549278085,0.19908034998289098,0.12464431647139027,30.58530795452947,169.7072045506256,135.8096224419391,13.270828430425187,11.046307226518476
4,0.12,0.5,0.0,1.0,320.0,10.0,0.1,17.790732986801878,0.0938,0.1669,0.2401,0.3428,0.2555,23.09933695614206,80.03758813518465,52.147353953691116,3.9791543021964157,3.4490953436360066,0.22969878686781742,0.27235678702668015,0.3570243903985385,0.2855263216516184,0.18946508863018555,56.203237687782604,242.6595096250089,176.9727966462326,19.950457105987656,17.746795051140655
0,0.12,0.5,0.0,1.0,320.0,50.0,0.5,89.89379743803187,0.0145,0.0288,0.4156,0.2031,0.0641,11.788913547924789,26.511984875055788,14.9384991561588,0.9486357795248925,0.6001288019084937,0.1172284358459855,0.09021659930674367,0.10227572734434336,0.06806986212254913,0.03296616802806461,6.377845736930463,49.66090715346466,43.27671560949469,3.1182335414886166,2.157856380759122
1,0.12,0.5,0.0,1.0,320.0,50.0,0.5,89.89379743803187,0.0251,0.0472,0.3922,0.2218,0.0897,13.531147734891562,40.70679738109155,25.234308001059855,1.6410967143378272,0.9178032120136068,0.13455313568242372,0.13851957315523367,0.17276549523889428,0.11775776276401032,0.05041660191565244,14.133490732107493,97.14054707778342,82.33143534467581,6.473552481814733,4.1935760947878515
2,0.12,0.5,0.0,1.0,320.0,50.0,0.5,89.89379743803187,0.0407,0.0745,0.3575,0.2494,0.1275,15.05053398979003,49.41342840433629,31.324539917371272,2.067990081371035,1.2143780491343934,0.14966184552099837,0.16814702828684727,0.21446197976690554,0.1483897221125547,0.06670799783320833,21.153371691837464,127.74347307846696,104.97801221299504,8.411163440706414,5.896875098178537
3,0.12,0.5,0.0,1.0,320.0,50.0,0.5,89.89379743803187,0.0673,0.1207,0.2988,0.2961,0.1916,17.33435900164468,57.2817641566448,36.05455669926458,2.6958517907727395,1.8042146701669544,0.17237210060916028,0.19492188113631537,0.2468458157642214,0.1934422711661091,0.09910879762190128,30.831172493901892,156.8709951206607,122.95382249013278,11.412162891488723,9.390420361863171
4,0.12,0.5,0.0,1.0,320.0,50.0,0.5,89.89379743803187,0.0938,0.1669,0.2401,0.3428,0.2555,23.29125980418698,74.17644520773726,45.91931283258021,3.8596913279706904,2.782503464580218,0.23160725919547928,0.25241213235608323,0.31438440167319953,0.27695419274839755,0.15284798273356315,56.744741363170675,224.2141646793908,158.7003574182371,17.105763530857466,15.15364666657451
0,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.0145,0.0288,0.4156,0.2031,0.0641,11.92740396223963,26.137352130856303,14.500599230831039,1.0165557140253438,0.446119067963517,0.11860557841165043,0.08894177615299216,0.0992776662340031,0.0729434929475785,0.024506132863877015,6.43295410807327,47.962019813894955,41.4566252926797,3.0173674209120156,1.9225180909753652
1,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.0251,0.0472,0.3922,0.2218,0.0897,13.750072237066405,39.92640128322887,24.21989648656187,1.6464337492648464,0.6898078219977674,0.13673011126664417,0.1358639937109475,0.16582037482303344,0.11814072452812106,0.03789239992270705,14.265402647995776,93.65837298560288,78.7513192216087,5.994234798790691,3.7020124730942974
2,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.0407,0.0745,0.3575,0.2494,0.1275,15.502440011757002,48.60315077921066,29.934394351178035,2.039943829154139,0.9083770213324769,0.15415557905201532,0.165389766158882,0.2049444139518477,0.14637724845020297,0.04989880409480049,21.64253975804125,123.50484372550412,100.28920674783521,7.9367789115298315,5.262512454498413
3,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.0673,0.1207,0.2988,0.2961,0.1916,17.766194925959983,56.37619576299086,34.45519061656608,2.5918920023936654,1.3499512760536163,0.1766662579752137,0.19184035776867062,0.23589583158656566,0.18598258156342817,0.07415528209037603,31.286020600637038,151.74048979247962,117.39081611978327,10.549841502133045,8.184635961189361
