AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,theta_trunc_cld,re_um,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
0,0.12,3.0,60.0,0.5000000000000001,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,326.0969082065925,24.386388641725656,301.71051956486696,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,65.0,0.4226182617406994,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,281.6465116632607,12.512114245987767,269.134397417273,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,65.0,0.4226182617406994,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,273.5155315398723,12.278193125775228,261.23733841409705,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,65.0,0.4226182617406994,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,264.02326080508413,12.133656917585538,251.8896038874985,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,65.0,0.4226182617406994,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,248.4963769982814,11.874301157640565,236.6220758406408,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,955.3670012241256,100.02590898432832,855.3410922397973,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,0.0,1.0,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,932.3107108008952,99.38618337967014,832.924527421225,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,0.0,1.0,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,905.073636658998,98.28173405732096,806.791902601677,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,0.0,1.0,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,859.586894845353,96.30429404067704,763.282600804676,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,15.0,0.9659258262890684,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,904.7123836676188,88.69490023461135,816.0174834330077,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,15.0,0.9659258262890684,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,883.5795998187127,88.05888328975337,795.5207165289594,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,15.0,0.9659258262890684,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,856.5584983651893,87.19321530707938,769.36528305811,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,15.0,0.9659258262890684,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,813.3086568423561,85.53498220042447,727.7736746419316,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,764.2296939452887,60.27331404827545,703.9563798970132,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,744.7059492469093,59.89542991442059,684.8105193324885,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,721.9618711407612,59.38773305834242,662.5741380824188,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,685.2442401349184,58.25273946514819,626.9915006697703,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,552.789784031758,26.8080526811496,525.9817313506085,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,45.0,0.7071067811865476,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,538.9305877128908,26.62599243833391,512.304595274557,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,45.0,0.7071067811865476,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,522.0165928191284,26.46953920378277,495.5470536153457,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,45.0,0.7071067811865476,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,493.2880480003956,25.80877707016732,467.47927093022827,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,60.0,0.5000000000000001,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,317.82686957127066,5.0071772489328925,312.81969232233774,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,60.0,0.5000000000000001,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,309.08065015378804,4.968499765314302,304.1121503884737,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,60.0,0.5000000000000001,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,298.1810516433701,4.855309950480541,293.3257416928895,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,60.0,0.5000000000000001,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,281.2050926545657,4.833225295316789,276.37186735924894,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,65.0,0.4226182617406994,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,242.7642930450908,1.8762771501650333,240.8880158949258,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,65.0,0.4226182617406994,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,236.03900809652944,1.832005228456618,234.20700286807283,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,65.0,0.4226182617406994,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,227.3932345303849,1.8296217906476704,225.56361273973727,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,5.0,65.0,0.4226182617406994,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,213.9290424627012,1.798648456324529,212.13039400637663,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,752.7008726157446,13.16977266464442,739.5310999511003,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,0.0,1.0,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,734.0770796695956,13.117942484284708,720.959137185311,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,0.0,1.0,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,712.3723113134504,13.140836091881134,699.2314752215692,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,0.0,1.0,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,674.3140458307591,13.046478907442344,661.2675669233167,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,15.0,0.9659258262890684,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,711.7280410711544,10.8951265470622,700.8329145240922,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,15.0,0.9659258262890684,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,693.3443708378898,10.840346343027184,682.5040244948624,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,15.0,0.9659258262890684,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,672.0236200736184,10.810888061427846,661.2127320121906,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,15.0,0.9659258262890684,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,637.1109577284321,10.846264889601162,626.2646928388311,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,592.6604430258852,6.018410609097111,586.6420324167881,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,578.3950511023332,5.991745858893497,572.4033052434398,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,560.0017273751951,5.994282813798035,554.007444561397,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,529.4032637191915,5.930266952472714,523.4729967667188,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,423.43314391391885,1.67000954640161,421.7631343675172,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,45.0,0.7071067811865476,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,412.67888469051786,1.6773508865650817,411.0015338039527,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,45.0,0.7071067811865476,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,399.8372648189734,1.6907079802308271,398.1465568387426,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,45.0,0.7071067811865476,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,377.6533821532484,1.6531717814395863,376.0002103718088,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,60.0,0.5000000000000001,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,241.7491445829176,0.1101823560857518,241.63896222683184,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,60.0,0.5000000000000001,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,234.9594674764754,0.108006822337897,234.85146065413747,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,60.0,0.5000000000000001,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,226.77039177443865,0.1092784128937757,226.6611133615449,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,60.0,0.5000000000000001,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,213.9098613239166,0.1079223557569068,213.8019389681597,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,65.0,0.4226182617406994,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,185.34954089946305,0.0304739117084836,185.31906698775447,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,65.0,0.4226182617406994,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,179.94040203154984,0.0298404741663844,179.91056155738346,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,65.0,0.4226182617406994,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,173.5961321944786,0.0312257353609051,173.56490645911768,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,10.0,65.0,0.4226182617406994,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,163.69135281989213,0.0295019708419675,163.66185084905013,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,509.2935742486887,0.346666145449679,508.94690810323897,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,0.0,1.0,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,497.8490101443657,0.350819719593317,497.4981904247724,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,0.0,1.0,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,482.4085319307272,0.3504962034326112,482.05803572729445,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,0.0,1.0,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,456.4052190149326,0.3641438716703462,456.04107514326233,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,15.0,0.9659258262890684,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,480.363201836902,0.2881763876668163,480.0750254492352,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,15.0,0.9659258262890684,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,469.3885007828726,0.2990392519311284,469.0894615309415,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,15.0,0.9659258262890684,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,454.8118488704372,0.2869290628850233,454.5249198075521,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,15.0,0.9659258262890684,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,430.512778111619,0.2849737851089443,430.22780432651007,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,30.0,0.8660254037844387,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,399.5228873016651,0.1367611540946988,399.3861261475704,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,391.39754166671815,0.126329026053436,391.2712126406647,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,378.6728300582153,0.1231667694088737,378.54966328880647,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,358.28353340129587,0.1236932705366069,358.15984013075933,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,286.8031933639542,0.023056435834107,286.7801369281201,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,20.0,45.0,0.7071067811865476,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,279.88146468880905,0.0330512487999212,279.84841344000915,0.0145,0.0288,0.4156,0.2031,0.0641
