Time,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,RH,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,rtm_dsw,rtm_dni,rtm_dhi,C01_rtm,C02_rtm,C03_rtm,C04_rtm,C05_rtm,C06_rtm
2021-07-31 04:00:00,890.9,22.251616719350523,166.68638551452923,892.773072852908,303.85,63.0,0.1458,0.113,0.2812,0.0288,0.156,0.0818,202.5,37.16,118.92,44.12,0.04,907.9082960290704,863.0949892758365,109.08814657243713,0.10039034511495773,0.1065629606983357,0.22403060749812542,1.665827783100538e-05,0.2641458538454607,0.14712808184961446
2021-08-02 04:00:00,920.4,22.742574359826165,167.0043179867644,889.3830647671649,302.75,45.0,0.1305,0.0985,0.2783,0.0275,0.138,0.0585,202.5,37.16,120.06,44.62,0.04,917.8526098239496,878.4662941980948,107.68611915733841,0.09921043746667889,0.10637431561988488,0.22711102091210644,7.010282500705222e-06,0.259351406979824,0.15497857471277318
2021-08-05 04:00:00,862.7,23.51241666616144,167.51751094367484,883.9409164197255,302.45,64.0,0.1318,0.0923,0.0788,0.0288,0.095,0.0523,202.4,37.2,121.86,45.52,0.04,897.5252762048731,860.1590421254184,108.78210900459014,0.09924381247108961,0.10472825937357702,0.22116875825326554,6.225238391152658e-06,0.25875996262479606,0.146742818670248
2021-08-06 04:00:00,808.8,23.777683630104363,167.697274865806,882.0288997555615,302.35,56.0,0.123,0.0828,0.069,0.026,0.0805,0.0368,202.4,37.2,122.44,45.78,0.04,902.8770788471295,868.8033673915842,107.8205414604535,0.0991396723737522,0.10477069014281554,0.2225466403436518,8.054787965916943e-06,0.2578522265177854,0.15030487478812507
2021-08-10 04:00:00,857.1,24.88024013907956,168.45369489731522,873.8736815121182,302.35,59.0,0.4658,0.4813,0.51,0.039,0.4045,0.2855,202.4,37.2,124.88,46.94,0.04,892.3825889793543,864.8951832525099,107.75904994214451,0.09886656799211152,0.10370849071004493,0.21990488539062872,9.09294029642359e-06,0.255244236069398,0.1476381906543193
2021-08-17 04:00:00,884.7,26.95888027741501,169.8880553427121,859.0265695557537,300.54999999999995,56.0,0.3848,0.4043,0.3965,0.029,0.4033,0.2615,202.4,37.2,129.26,49.1,0.04,879.5519548496841,866.7820627414402,106.96126811254783,0.09753923375281681,0.10123193724482767,0.21544662849334895,3.6370362300128177e-06,0.2508792250895014,0.14850526046957283
2021-08-23 03:00:00,726.3,33.32443812627939,143.7873608279345,802.9175783468912,301.0833333333333,64.33333333333333,0.2223,0.2348,0.2848,0.0783,0.1823,0.1318,202.48,37.22,113.56,50.58,0.04,,,,,,,,,
2021-08-24 03:00:00,818.2,33.597019261952724,144.17670751476874,801.1830276797681,296.6166666666667,68.66666666666667,0.5398000000000001,0.602,0.634,0.1268,0.1615,0.1738,202.48,37.22,114.08,50.92,0.04,,,,,,,,,
2021-08-26 03:00:00,849.6,34.151020551462366,144.95445919067865,797.5618289963223,300.2833333333333,41.0,0.3955,0.395,0.408,0.094,0.2108,0.1938,202.48,37.22,115.14,51.6,0.04,,,,,,,,,
2021-08-27 03:00:00,840.9,34.432392352968854,145.34241607620706,795.6740365434697,298.85,45.66666666666666,0.5133,0.54,0.5698,0.043,0.4388,0.2893,202.48,37.22,115.68,51.94,0.04,,,,,,,,,
2021-08-29 03:00:00,770.5,35.003726888190485,146.11542897771227,791.7415711215883,298.51666666666665,60.333333333333336,0.1473,0.1123,0.1635,0.0318,0.1133,0.0533,202.48,37.22,116.74,52.64,0.04,,,,,,,,,
