Time,index,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,rh,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C05,WSA_C05,BSA_C06,WSA_C06,site
2021-06-05 03:00:00,388,961.1,21.582373621799164,119.8013609509014,891.1549751178188,305.06,22.27,0.1248,0.128,0.213,0.0285,0.209,0.131,196.64,41.88,120.56,50.48,1.48,0.088,0.1,0.011,0.169,0.196,0.031,0.335,0.319,0.059,0.301,0.258,0.049,0.201,0.177,0.038,0.0735103698418257,0.091764558,0.1282691255931338,0.163373782,0.2575451375086068,0.314069998,0.2366814438634213,0.282305994,0.1511481509155261,0.182135932,FQA
2021-06-05 02:00:00,387,953.9,33.068651708184845,102.55123329279508,786.9171546009629,303.28,25.78,0.1118,0.1065,0.188,0.0275,0.1843,0.11,196.64,41.88,102.94,49.42,1.48,0.088,0.1,0.011,0.169,0.196,0.031,0.335,0.319,0.059,0.301,0.258,0.049,0.201,0.177,0.038,0.0761366140996245,0.091764558,0.1331711741069285,0.163373782,0.2653013227466048,0.314069998,0.2429211427589931,0.282305994,0.1553149209436174,0.182135932,FQA
2021-06-05 01:00:00,386,746.1,45.24892774549189,92.00502133216916,635.7084948811429,301.51,29.29,0.092,0.0868,0.1535,0.027,0.149,0.0855,196.72,41.88,92.3,49.78,1.4,0.088,0.1,0.011,0.169,0.196,0.031,0.335,0.319,0.059,0.301,0.258,0.049,0.201,0.177,0.038,0.0829173419059367,0.091764558,0.1461237928147264,0.163373782,0.2860767382707275,0.314069998,0.2596779763591434,0.282305994,0.1666541108137141,0.182135932,FQA
2021-06-24 04:00:00,444,965.2,12.790493397300937,153.36935039545006,935.5482876662876,304.71999999999997,39.87,0.2208,0.223,0.2995,0.0373,0.3,0.2225,196.64,41.88,155.34,51.86,1.52,0.096,0.118,0.015,0.178,0.144,0.031,0.342,0.428,0.068,0.428,0.24,0.072,0.3,0.143,0.068,0.0757016368456122,0.097659382,0.1368179968143732,0.162536214,0.25080304176609,0.329292456,0.333077783524178,0.374215376,0.2109946137623926,0.233375016,FQA
2021-06-08 06:00:00,403,813.8,24.63872241698222,247.11853160989372,867.0437325708122,304.78999999999996,42.4,0.156,0.1588,0.238,0.0283,0.2568,0.1538,196.56,41.86,247.82,60.1,1.68,0.092,0.066,0.008,0.181,0.156,0.027,0.323,0.228,0.035,0.346,0.194,0.058,0.235,0.221,0.052,0.0817493868191354,0.093465168,0.1461532777588136,0.17331691,0.2779252176346473,0.3179171819999999,0.2706136636669545,0.30279962,0.1675891750255061,0.2051733199999999,FQA
2021-06-06 02:00:00,394,862.5,33.05183501560306,102.34493317888032,787.005276202275,303.03,36.8,0.1175,0.112,0.1903,0.0275,0.19,0.1138,196.64,41.88,102.72,49.32,1.48,0.09,0.087,0.009,0.174,0.182,0.028,0.329,0.237,0.04,0.332,0.232,0.078,0.219,0.186,0.045,0.0804328892098778,0.09406041,0.1417663547274521,0.169858072,0.2823114024645573,0.318731728,0.2345477288139234,0.268436172,0.1642299816044669,0.192195234,FQA
2021-06-20 01:00:00,426,762.4,45.47501270306322,90.44509330739116,629.155755522127,301.7,43.8,0.1465,0.1368,0.1783,0.036,0.1858,0.1335,196.72,41.88,90.74,48.96,1.4,0.096,0.119,0.016,0.182,0.146,0.032,0.336,0.42,0.067,0.429,0.24,0.072,0.302,0.145,0.069,0.086177829465845,0.096470944,0.1530180775342881,0.1655369599999999,0.2869212984623127,0.323156606,0.3548083271296474,0.375215376,0.2222725335849789,0.234375762,FQA
2021-06-08 04:00:00,401,933.4,13.010701503384285,157.515127656664,941.3217082960692,301.85999999999996,51.09,0.1548,0.1605,0.2418,0.028,0.2675,0.159,196.64,41.88,159.54,52.56,1.52,0.092,0.066,0.008,0.181,0.156,0.027,0.323,0.228,0.035,0.346,0.194,0.058,0.235,0.221,0.052,0.0811522754168206,0.093465168,0.1448984180403942,0.17331691,0.2760048967373384,0.3179171819999999,0.2695255245727538,0.30279962,0.1660774098317147,0.2051733199999999,FQA
2021-06-02 03:00:00,375,934.9,21.722209590166543,120.74425164696028,890.5331110206437,302.83,53.69,0.176,0.1675,0.2415,0.0405,0.19,0.121,196.64,41.88,121.52,50.86,1.48,0.083,0.111,0.007,0.154,0.232,0.019,0.343,0.275,0.057,0.281,0.332,0.041,0.185,0.218,0.031,0.0737415074148516,0.09435607,0.1289401861079942,0.17171587,0.2682482091463766,0.316501146,0.2270948550625126,0.287326586,0.1442759974876527,0.18353583,FQA
2021-06-11 02:00:00,411,725.1,33.035105909240364,101.45680197808866,786.8227534474103,301.28,53.92,0.1698,0.1675,0.2205,0.027,0.2275,0.1343,196.64,41.88,101.82,48.88,1.48,0.09,0.112,0.015,0.185,0.149,0.032,0.318,0.398,0.064,0.364,0.204,0.061,0.255,0.122,0.058,0.0731290882659183,0.090524278,0.1465100544159955,0.1691045119999999,0.2437984637815429,0.305127424,0.2884049890349283,0.318558594,0.1811232718318117,0.198178372,FQA
