AKA,ALF,ASA,BJC,BJF,BNF,CBF,CLD,CSA,CWA,DHF,DHL,DYB,ESD,FKD,FQA,GGF,GGS,HBG,HJA,HLA,HSF,HTF,JZB,LCA,LSA,LZD,MXF,NMD,NMG,PDF,QYA,QYF,SJM,SNF,SPD,SYA,SYB,THL,TYA,YCA,YGA,YTA
133.3,NaN,0,0,0,46.3,0,227.9,NaN,0,0,0,NaN,0,NaN,0,NaN,10.2,NaN,23.8,0,0,23.3,0,0,220.3,NaN,64.4,0,0,1.8,0,NaN,0,6.8,NaN,NaN,37,0,NaN,0,-0.2,0
44.7,NaN,0,0,0,0,0,59,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,4.1,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,0,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,NaN,NaN,0,0,NaN,0,0,0
0,NaN,0,0,0,0,1.9,0,NaN,0,9.5,0,NaN,0,NaN,0,NaN,0,NaN,0,0,2.2,0,0,0,0,NaN,0,0,0,0,-0.5,NaN,7.9,0,NaN,NaN,0,0,NaN,0,0,4.3
0,NaN,0,17.9,16,7.4,55.6,0,NaN,0,87.4,85.8,NaN,0,NaN,69.6,NaN,6.9,NaN,7.2,2.6,60,5.2,56.9,-1.9,0,NaN,0,35.5,3.2,0.7,46.4,NaN,131.9,0,NaN,NaN,10.7,113.2,NaN,23.9,0,131.3
0,NaN,86.4,40.5,24.6,45.6,268.2,0,NaN,26.6,199,224.5,NaN,33.4,NaN,162,NaN,53.2,NaN,60.5,20.4,144.1,131.5,122.9,-2.6,0,NaN,0.4,231.7,173,10.1,174.9,NaN,251.4,38.4,NaN,NaN,81.6,235.4,NaN,125.1,28.5,289.5
0,NaN,278.7,348.7,142.4,101.6,395.4,0,NaN,96.7,377.3,365.7,NaN,207.6,NaN,237.8,NaN,303,NaN,301.5,33.6,256.8,171.6,300.8,-1,242.3,NaN,36.2,359.9,344,22.7,424.8,NaN,328.8,67.5,NaN,NaN,173.9,298.9,NaN,77.3,71.4,447.8
