Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
293.0,0.4,6.31,45.0,407.8890637944523,12.12495895711424,399.3154230942682,19.692429430076828,30.196419646091044,10.825116338393752,0.0032929986320967,3.2555132062902876,0.7479457838079593
293.0,0.2,15.0,30.0,388.3128834020785,7.842875973386314,381.5207535703952,41.4281849517959,109.9983387986692,63.624979904741735,0.0397071090629858,5.447877429101704,4.236975152235702
268.0,0.2,0.0,0.0,1071.9696570447954,865.0347487900727,206.9349082547228,8.271930117524949,11.604582109279526,8.622721068934887,0.1247815636033891,2.805762721889918,0.6334198828679218
253.0,0.2,0.16,0.0,1101.3506174770969,758.9862524531543,342.36436502394275,8.792213941897817,12.325417326591388,8.839154333042387,0.3319574657805634,2.8674441827216297,0.648133916847374
288.0,0.4,50.0,45.0,107.40884489683636,2.739907338032958,105.47143783829048,47.71071129457813,124.40618841097157,68.75471270674232,0.024397805069459,5.102809927915897,3.8558092706338942
283.0,0.9,10.0,45.0,343.3299761643076,8.894322914961885,337.0407401170751,24.26706736343734,37.43178540756663,12.606988527537837,0.0023293984836888,3.636641840929495,0.8146445930906439
258.0,0.2,2.51,15.0,936.4817206658006,123.3272763684034,817.3567193356703,13.689941077126376,20.139544164103345,9.85792131554082,0.2953695094119181,3.122472655857748,0.72260880703961
243.0,1.0,6.31,0.0,813.3477692202823,3.3060015572113244,810.041767663071,21.957538316279603,34.64858164594713,13.061851829015874,0.3681239382246718,3.941000266239732,0.8920461891941726
233.0,0.5,15.0,0.0,539.4032215439704,0.0434262128087939,539.3597953311616,45.350960841826485,123.09928483133136,73.08617577266284,2.5634391798206972,6.042301676957559,4.672070866662863
273.0,0.9,10.0,0.0,635.0194443482703,0.2221776191358949,634.7972667291343,28.43175149985639,45.69692550201385,15.443572968401664,0.0080933441503189,4.466822384558288,0.971923550211385
303.0,0.5,0.25,45.0,610.749708292262,484.7656479149005,267.96863136534546,8.228994081226723,10.163218181585512,6.401105705240261,0.0009951664572669,2.097862872652897,0.4531744457462684
268.0,0.5,15.0,45.0,285.47582180481623,7.323950511508238,280.29700673305405,36.07147815802925,95.31169593885346,55.77476300765672,0.1390738830320716,4.779128812142484,3.92505635112572
263.0,0.4,1.58,30.0,825.1468707649877,199.723350961296,652.1813751035501,11.596420105470653,16.65205971647095,8.60087678979697,0.0715686425592655,2.761164379876542,0.645807138872407
248.0,0.3,2.51,60.0,337.59948633660065,25.14741425203692,325.02577921058213,12.22551528760632,17.1979495257799,6.855899747009541,0.2564853268519073,2.1554983783976924,0.5306712114322346
253.0,1.0,15.0,60.0,167.6062251764653,4.462849918072923,165.3748002174288,27.641475008415096,71.10356505345048,42.31626630642858,0.2104024350839784,3.6921877456102727,3.203259877374419
233.0,0.3,3.98,15.0,883.7365719394849,48.81058619828397,836.5891661342537,16.91843396201402,25.676337510454687,10.900450083704769,0.8648219796360035,3.42330622220027,0.7951029182253223
248.0,0.4,20.0,15.0,414.6637895977563,4.672489096633613,410.1505117062638,49.58375216418968,135.07136351726297,78.07762658120154,1.5090010648748884,6.156455661792944,4.629183311899873
